date,direction,entry,exit,points,pnl_gross,pnl_net,outcome,variant,probability,sample_size
2017-02-02 00:00:00-05:00,long,5142.0,5145.8,3.300000000000182,66.00000000000364,63.50000000000364,win,Expanded|None|Above|Above,92.16,51
2017-02-24 00:00:00-05:00,short,5300.4,5340.4,-40.5,-810.0,-812.5,loss,Normal|Low|Below|Below,9.41,85
2017-02-27 00:00:00-05:00,short,5332.1,5330.9,0.7000000000007276,14.000000000014552,11.500000000014552,win,Normal|Low|Below|Below,9.41,85
2017-03-03 00:00:00-05:00,long,5356.2,5358.3,1.6000000000003638,32.000000000007276,29.500000000007276,win,Expanded|None|Above|Above,92.16,51
2017-03-17 00:00:00-04:00,long,5421.0,5381.0,-40.5,-810.0,-812.5,loss,Compressed|Both|Above|Above,85.71,56
2017-03-31 00:00:00-04:00,long,5430.3,5430.8,0.0,0.0,-2.5,win,Expanded|None|Above|Above,92.16,51
2017-05-03 00:00:00-04:00,long,5629.9,5631.2,0.8000000000001819,16.000000000003638,13.500000000003638,win,Expanded|None|Above|Above,92.16,51
2017-05-11 00:00:00-04:00,short,5654.5,5653.4,0.6000000000003638,12.000000000007276,9.500000000007276,win,Compressed|Low|Below|Below,11.54,52
2017-05-30 00:00:00-04:00,short,5776.9,5816.9,-40.5,-810.0,-812.5,loss,Normal|Low|Below|Below,9.41,85
2017-07-11 00:00:00-04:00,short,5684.3,5682.8,1.0,20.0,17.5,win,Normal|Low|Below|Below,9.41,85
2017-07-27 00:00:00-04:00,long,5984.9,5986.5,1.1000000000003638,22.000000000007276,19.500000000007276,win,Expanded|None|Above|Above,92.16,51
2017-08-08 00:00:00-04:00,short,5930.5,5928.0,2.0,40.0,37.5,win,Normal|Low|Below|Below,9.41,85
2017-08-15 00:00:00-04:00,long,5928.3,5888.3,-40.5,-810.0,-812.5,loss,Expanded|None|Above|Above,92.16,51
2017-08-18 00:00:00-04:00,long,5816.3,5818.3,1.5,30.0,27.5,win,Expanded|None|Above|Above,92.16,51
2017-09-28 00:00:00-04:00,short,5922.7,5921.4,0.8000000000001819,16.000000000003638,13.500000000003638,win,Normal|Low|Below|Below,9.41,85
2017-10-04 00:00:00-04:00,short,5987.5,5986.0,1.0,20.0,17.5,win,Compressed|Low|Below|Below,11.54,52
2017-10-11 00:00:00-04:00,short,6055.7,6095.7,-40.5,-810.0,-812.5,loss,Compressed|Low|Below|Below,11.54,52
2017-11-06 00:00:00-05:00,long,6297.0,6298.8,1.300000000000182,26.000000000003638,23.500000000003638,win,Expanded|None|Above|Above,92.16,51
2017-11-13 00:00:00-05:00,short,6284.0,6282.0,1.5,30.0,27.5,win,Normal|Low|Below|Below,9.41,85
2018-01-02 00:00:00-05:00,long,6427.5,6433.4,5.399999999999636,107.99999999999272,105.49999999999272,win,Compressed|Both|Above|Above,85.71,56
2018-01-08 00:00:00-05:00,short,6654.2,6694.2,-40.5,-810.0,-812.5,loss,Compressed|Low|Below|Below,11.54,52
2018-02-01 00:00:00-05:00,short,6921.2,6909.7,11.0,220.0,217.5,win,Normal|Low|Below|Below,9.41,85
2018-02-07 00:00:00-05:00,long,6640.4,6652.4,11.5,230.0,227.5,win,Expanded|None|Above|Above,92.16,51
2018-02-19 00:00:00-05:00,short,6800.2,6797.5,2.199999999999818,43.99999999999636,41.49999999999636,win,Normal|Low|Below|Below,9.41,85
2018-03-07 00:00:00-05:00,long,6872.4,6882.7,9.800000000000182,196.00000000000364,193.50000000000364,win,Expanded|None|Above|Above,92.16,51
2018-04-26 00:00:00-04:00,long,6596.8,6601.0,3.699999999999818,73.99999999999636,71.49999999999636,win,Expanded|None|Above|Above,92.16,51
2018-05-08 00:00:00-04:00,short,6801.2,6790.2,10.5,210.0,207.5,win,Normal|Low|Below|Below,9.41,85
2018-05-15 00:00:00-04:00,short,6943.0,6939.0,3.5,70.0,67.5,win,Normal|Low|Below|Below,9.41,85
2018-07-12 00:00:00-04:00,long,7275.0,7277.3,1.800000000000182,36.00000000000364,33.50000000000364,win,Expanded|None|Above|Above,92.16,51
2018-07-18 00:00:00-04:00,short,7396.8,7394.8,1.5,30.0,27.5,win,Compressed|Low|Below|Below,11.54,52
2018-07-19 00:00:00-04:00,short,7359.6,7355.7,3.4000000000005457,68.00000000001091,65.50000000001091,win,Normal|Low|Below|Below,9.41,85
2018-07-24 00:00:00-04:00,long,7429.4,7431.4,1.5,30.0,27.5,win,Expanded|None|Above|Above,92.16,51
2018-07-26 00:00:00-04:00,long,7404.8,7408.8,3.5,70.0,67.5,win,Expanded|None|Above|Above,92.16,51
2018-08-15 00:00:00-04:00,short,7386.2,7374.2,11.5,230.0,227.5,win,Normal|Low|Below|Below,9.41,85
2018-09-06 00:00:00-04:00,long,7531.6,7491.6,-40.5,-810.0,-812.5,loss,Compressed|Both|Above|Above,85.71,56
2018-09-11 00:00:00-04:00,short,7437.0,7428.0,8.5,170.0,167.5,win,Normal|Low|Below|Below,9.41,85
2018-09-19 00:00:00-04:00,short,7485.7,7484.2,1.0,20.0,17.5,win,Normal|Low|Below|Below,9.41,85
2018-09-20 00:00:00-04:00,long,7527.4,7527.9,0.0,0.0,-2.5,win,Compressed|Both|Above|Above,85.71,56
2018-09-28 00:00:00-04:00,short,7595.8,7635.8,-40.5,-810.0,-812.5,loss,Compressed|Low|Below|Below,11.54,52
2018-10-09 00:00:00-04:00,short,7321.5,7361.5,-40.5,-810.0,-812.5,loss,Normal|Low|Below|Below,9.41,85
2018-11-20 00:00:00-05:00,short,6514.4,6508.8,5.099999999999454,101.99999999998909,99.49999999998909,win,Normal|Low|Below|Below,9.41,85
2018-11-30 00:00:00-05:00,long,6908.3,6913.5,4.699999999999818,93.99999999999636,91.49999999999636,win,Compressed|Both|Above|Above,85.71,56
2018-12-04 00:00:00-05:00,long,7035.6,7040.6,4.5,90.0,87.5,win,Expanded|None|Above|Above,92.16,51
2018-12-17 00:00:00-05:00,short,6567.6,6562.6,4.5,90.0,87.5,win,Compressed|Low|Below|Below,11.54,52
2019-02-06 00:00:00-05:00,long,7018.0,7021.6,3.100000000000364,62.000000000007276,59.500000000007276,win,Compressed|Both|Above|Above,85.71,56
2019-02-08 00:00:00-05:00,short,6840.9,6834.4,6.0,120.0,117.5,win,Compressed|Low|Below|Below,11.54,52
2019-02-19 00:00:00-05:00,short,7036.2,7032.1,3.5999999999994543,71.99999999998909,69.49999999998909,win,Compressed|Low|Below|Below,11.54,52
2019-03-22 00:00:00-04:00,short,7469.2,7456.5,12.199999999999818,243.99999999999636,241.49999999999636,win,Compressed|Low|Below|Below,11.54,52
2019-03-25 00:00:00-04:00,long,7327.8,7332.5,4.199999999999818,83.99999999999636,81.49999999999636,win,Expanded|None|Above|Above,92.16,51
2019-04-25 00:00:00-04:00,long,7852.8,7854.2,0.8999999999996362,17.999999999992724,15.499999999992724,win,Expanded|None|Above|Above,92.16,51
2019-04-30 00:00:00-04:00,long,7790.1,7794.1,3.5,70.0,67.5,win,Expanded|None|Above|Above,92.16,51
2019-05-13 00:00:00-04:00,short,7445.3,7441.7,3.100000000000364,62.000000000007276,59.500000000007276,win,Normal|Low|Below|Below,9.41,85
2019-05-20 00:00:00-04:00,short,7408.1,7396.7,10.900000000000546,218.0000000000109,215.5000000000109,win,Normal|Low|Below|Below,9.41,85
2019-05-22 00:00:00-04:00,short,7400.1,7397.6,2.0,40.0,37.5,win,Normal|Low|Below|Below,9.41,85
2019-06-10 00:00:00-04:00,long,7462.6,7465.4,2.2999999999992724,45.99999999998545,43.49999999998545,win,Expanded|None|Above|Above,92.16,51
2019-06-18 00:00:00-04:00,long,7609.2,7613.0,3.300000000000182,66.00000000000364,63.50000000000364,win,Compressed|Both|Above|Above,85.71,56
2019-06-25 00:00:00-04:00,long,7718.2,7719.9,1.199999999999818,23.999999999996362,21.499999999996362,win,Expanded|None|Above|Above,92.16,51
2019-07-18 00:00:00-04:00,long,7855.2,7861.9,6.199999999999818,123.99999999999636,121.49999999999636,win,Expanded|None|Above|Above,92.16,51
2019-07-30 00:00:00-04:00,short,7933.7,7926.4,6.800000000000182,136.00000000000364,133.50000000000364,win,Compressed|Low|Below|Below,11.54,52
2019-08-14 00:00:00-04:00,short,7624.3,7613.7,10.100000000000364,202.00000000000728,199.50000000000728,win,Normal|Low|Below|Below,9.41,85
2019-08-28 00:00:00-04:00,short,7538.0,7529.7,7.800000000000182,156.00000000000364,153.50000000000364,win,Normal|Low|Below|Below,9.41,85
2019-09-11 00:00:00-04:00,long,7831.9,7833.9,1.5,30.0,27.5,win,Expanded|None|Above|Above,92.16,51
2019-09-16 00:00:00-04:00,long,7840.6,7843.2,2.0999999999994543,41.999999999989086,39.499999999989086,win,Expanded|None|Above|Above,92.16,51
2019-10-18 00:00:00-04:00,long,7942.7,7946.0,2.800000000000182,56.00000000000364,53.50000000000364,win,Compressed|Both|Above|Above,85.71,56
2019-10-28 00:00:00-04:00,long,8069.5,8070.7,0.6999999999998181,13.999999999996362,11.499999999996362,win,Compressed|Both|Above|Above,85.71,56
2019-11-14 00:00:00-05:00,short,8238.0,8232.8,4.700000000000728,94.00000000001455,91.50000000001455,win,Normal|Low|Below|Below,9.41,85
2019-12-03 00:00:00-05:00,short,8221.7,8219.9,1.3000000000010914,26.000000000021828,23.500000000021828,win,Normal|Low|Below|Below,9.41,85
2019-12-10 00:00:00-05:00,long,8370.2,8381.7,11.0,220.0,217.5,win,Compressed|Both|Above|Above,85.71,56
2019-12-31 00:00:00-05:00,short,8692.1,8688.8,2.8000000000010914,56.00000000002183,53.50000000002183,win,Compressed|Low|Below|Below,11.54,52
2020-01-28 00:00:00-05:00,long,9022.8,9034.3,11.0,220.0,217.5,win,Expanded|None|Above|Above,92.16,51
2020-01-30 00:00:00-05:00,long,9054.0,9067.8,13.299999999999272,265.99999999998545,263.49999999998545,win,Expanded|None|Above|Above,92.16,51
2020-02-11 00:00:00-05:00,long,9570.1,9570.2,-0.3999999999996362,-7.999999999992724,-10.499999999992724,win,Expanded|None|Above|Above,92.16,51
2020-02-18 00:00:00-05:00,long,9576.6,9587.1,10.0,200.0,197.5,win,Expanded|None|Above|Above,92.16,51
2020-06-08 00:00:00-04:00,short,9808.6,9797.5,10.600000000000364,212.00000000000728,209.50000000000728,win,Normal|Low|Below|Below,9.41,85
2020-06-16 00:00:00-04:00,long,9932.0,9937.3,4.799999999999272,95.99999999998545,93.49999999998545,win,Expanded|None|Above|Above,92.16,51
2020-07-31 00:00:00-04:00,long,10920.1,10928.2,7.600000000000364,152.00000000000728,149.50000000000728,win,Expanded|None|Above|Above,92.16,51
2020-08-19 00:00:00-04:00,short,11403.1,11394.9,7.700000000000728,154.00000000001455,151.50000000001455,win,Compressed|Low|Below|Below,11.54,52
2020-08-20 00:00:00-04:00,long,11325.0,11338.8,13.299999999999272,265.99999999998545,263.49999999998545,win,Expanded|None|Above|Above,92.16,51
2020-08-21 00:00:00-04:00,short,11433.6,11428.7,4.399999999999636,87.99999999999272,85.49999999999272,win,Normal|Low|Below|Below,9.41,85
2020-08-25 00:00:00-04:00,short,11622.1,11615.6,6.0,120.0,117.5,win,Normal|Low|Below|Below,9.41,85
2020-09-03 00:00:00-04:00,short,12274.5,12265.5,8.5,170.0,167.5,win,Normal|Low|Below|Below,9.41,85
2020-09-07 00:00:00-04:00,long,11486.1,11509.6,23.0,460.0,457.5,win,Expanded|None|Above|Above,92.16,51
2020-09-29 00:00:00-04:00,short,11362.2,11343.1,18.600000000000364,372.0000000000073,369.5000000000073,win,Normal|Low|Below|Below,9.41,85
2020-10-28 00:00:00-04:00,short,11408.5,11394.4,13.600000000000364,272.0000000000073,269.5000000000073,win,Compressed|Low|Below|Below,11.54,52
2020-11-04 00:00:00-05:00,long,11675.7,11744.0,67.79999999999927,1355.9999999999854,1353.4999999999854,win,Expanded|None|Above|Above,92.16,51
2021-01-05 00:00:00-05:00,short,12625.0,12624.6,-0.1000000000003638,-2.000000000007276,-4.500000000007276,win,Normal|Low|Below|Below,9.41,85
2021-01-11 00:00:00-05:00,short,12994.2,12983.4,10.300000000001091,206.00000000002183,203.50000000002183,win,Normal|Low|Below|Below,9.41,85
2021-01-21 00:00:00-05:00,short,13331.7,13319.4,11.800000000001091,236.00000000002183,233.50000000002183,win,Normal|Low|Below|Below,9.41,85
2021-01-27 00:00:00-05:00,short,13408.5,13367.9,40.100000000000364,802.0000000000073,799.5000000000073,win,Compressed|Low|Below|Below,11.54,52
2021-02-16 00:00:00-05:00,short,13859.9,13853.6,5.799999999999272,115.99999999998545,113.49999999998545,win,Compressed|Low|Below|Below,11.54,52
2021-03-17 00:00:00-04:00,short,13017.1,12983.5,33.100000000000364,662.0000000000073,659.5000000000073,win,Normal|Low|Below|Below,9.41,85
2021-03-18 00:00:00-04:00,short,12986.4,12963.3,22.600000000000364,452.0000000000073,449.5000000000073,win,Normal|Low|Below|Below,9.41,85
2021-03-29 00:00:00-04:00,long,12966.9,12985.1,17.700000000000728,354.00000000001455,351.50000000001455,win,Expanded|None|Above|Above,92.16,51
2021-03-30 00:00:00-04:00,short,12864.4,12854.6,9.299999999999272,185.99999999998545,183.49999999998545,win,Normal|Low|Below|Below,9.41,85
2021-05-10 00:00:00-04:00,short,13657.9,13649.0,8.399999999999636,167.99999999999272,165.49999999999272,win,Compressed|Low|Below|Below,11.54,52
2021-05-19 00:00:00-04:00,short,13011.9,13002.0,9.399999999999636,187.99999999999272,185.49999999999272,win,Normal|Low|Below|Below,9.41,85
2021-05-20 00:00:00-04:00,long,13237.2,13262.6,24.899999999999636,497.9999999999927,495.4999999999927,win,Compressed|Both|Above|Above,85.71,56
2021-06-03 00:00:00-04:00,short,13535.5,13520.7,14.299999999999272,285.99999999998545,283.49999999998545,win,Compressed|Low|Below|Below,11.54,52
2021-06-22 00:00:00-04:00,long,14187.3,14193.6,5.800000000001091,116.00000000002183,113.50000000002183,win,Compressed|Both|Above|Above,85.71,56
2021-07-02 00:00:00-04:00,long,14609.4,14613.2,3.3000000000010914,66.00000000002183,63.50000000002183,win,Compressed|Both|Above|Above,85.71,56
2021-07-06 00:00:00-04:00,long,14744.9,14755.4,10.0,200.0,197.5,win,Compressed|Both|Above|Above,85.71,56
2021-07-08 00:00:00-04:00,short,14597.7,14582.7,14.5,290.0,287.5,win,Compressed|Low|Below|Below,11.54,52
2021-07-12 00:00:00-04:00,long,14856.6,14864.3,7.199999999998909,143.99999999997817,141.49999999997817,win,Compressed|Both|Above|Above,85.71,56
2021-07-13 00:00:00-04:00,long,14925.4,14885.4,-40.5,-810.0,-812.5,loss,Compressed|Both|Above|Above,85.71,56
2021-07-14 00:00:00-04:00,long,14946.3,14951.8,5.0,100.0,97.5,win,Compressed|Both|Above|Above,85.71,56
2021-07-19 00:00:00-04:00,short,14562.1,14537.7,23.899999999999636,477.9999999999927,475.4999999999927,win,Normal|Low|Below|Below,9.41,85
2021-07-27 00:00:00-04:00,long,15130.2,15090.2,-40.5,-810.0,-812.5,loss,Compressed|Both|Above|Above,85.71,56
2021-08-12 00:00:00-04:00,long,15032.7,14992.7,-40.5,-810.0,-812.5,loss,Compressed|Both|Above|Above,85.71,56
2021-09-14 00:00:00-04:00,short,15417.7,15457.7,-40.5,-810.0,-812.5,loss,Compressed|Low|Below|Below,11.54,52
2021-09-16 00:00:00-04:00,short,15470.7,15466.2,4.0,80.0,77.5,win,Compressed|Low|Below|Below,11.54,52
2021-09-17 00:00:00-04:00,short,15494.7,15479.3,14.900000000001455,298.0000000000291,295.5000000000291,win,Normal|Low|Below|Below,9.41,85
2021-09-24 00:00:00-04:00,short,15221.3,15215.9,4.899999999999636,97.99999999999272,95.49999999999272,win,Normal|Low|Below|Below,9.41,85
2021-09-28 00:00:00-04:00,short,15002.1,14943.1,58.5,1170.0,1167.5,win,Normal|Low|Below|Below,9.41,85
2021-10-22 00:00:00-04:00,long,15466.2,15426.2,-40.5,-810.0,-812.5,loss,Expanded|None|Above|Above,92.16,51
2021-11-19 00:00:00-05:00,long,16570.7,16578.2,7.0,140.0,137.5,win,Expanded|None|Above|Above,92.16,51
2021-11-30 00:00:00-05:00,long,16361.5,16361.8,-0.2000000000007276,-4.000000000014552,-6.500000000014552,win,Expanded|None|Above|Above,92.16,51
2021-12-09 00:00:00-05:00,short,16324.9,16364.9,-40.5,-810.0,-812.5,loss,Normal|Low|Below|Below,9.41,85
2021-12-21 00:00:00-05:00,long,15816.2,15776.2,-40.5,-810.0,-812.5,loss,Expanded|None|Above|Above,92.16,51
2021-12-29 00:00:00-05:00,short,16500.0,16483.8,15.700000000000728,314.00000000001455,311.50000000001455,win,Normal|Low|Below|Below,9.41,85
2021-12-31 00:00:00-05:00,long,16441.1,16451.3,9.700000000000728,194.00000000001455,191.50000000001455,win,Expanded|None|Above|Above,92.16,51
2022-03-23 00:00:00-04:00,short,14534.2,14525.4,8.300000000001091,166.00000000002183,163.50000000002183,win,Compressed|Low|Below|Below,11.54,52
2022-04-06 00:00:00-04:00,short,14590.3,14582.3,7.5,150.0,147.5,win,Normal|Low|Below|Below,9.41,85
2022-04-14 00:00:00-04:00,short,14202.2,14193.2,8.5,170.0,167.5,win,Normal|Low|Below|Below,9.41,85
2022-05-05 00:00:00-04:00,short,13424.9,13383.5,40.899999999999636,817.9999999999927,815.4999999999927,win,Compressed|Low|Below|Below,11.54,52
